zcta,income_bin,bin_lower_annual_usd,bin_upper_annual_usd,assumed_annual_income_usd,assumed_hourly_wage_usd,household_count,probability_mass
ZCTA5 10013,$75–99.9k,75000,100000.0,87500.0,42.07,7,0.07485029940119761
ZCTA5 10013,$100–149.9k,100000,150000.0,125000.0,60.1,12,0.12375249500998006
ZCTA5 10013,$150–199.9k,150000,200000.0,175000.0,84.13,10,0.10179640718562875
ZCTA5 10013,$200k+,200000,,250000.0,120.19,41,0.41516966067864275
ZCTA5 10014,<$10k,0,10000.0,5000.0,2.4,4,0.0439121756487026
ZCTA5 10014,$10–14.9k,10000,15000.0,12500.0,6.01,1,0.017964071856287428
ZCTA5 10014,$15–24.9k,15000,25000.0,20000.0,9.62,3,0.030938123752495016
ZCTA5 10014,$25–34.9k,25000,35000.0,30000.0,14.42,2,0.0219560878243513
ZCTA5 10014,$35–49.9k,35000,50000.0,42500.0,20.43,4,0.048902195608782444
ZCTA5 10014,$50–74.9k,50000,75000.0,62500.0,30.05,7,0.07385229540918165
ZCTA5 10014,$75–99.9k,75000,100000.0,87500.0,42.07,9,0.09780439121756489
ZCTA5 10014,$100–149.9k,100000,150000.0,125000.0,60.1,12,0.1287425149700599
ZCTA5 10014,$150–199.9k,150000,200000.0,175000.0,84.13,9,0.09780439121756489
ZCTA5 10014,$200k+,200000,,250000.0,120.19,43,0.43812375249501
ZCTA5 10038,<$10k,0,10000.0,5000.0,2.4,9,0.09
ZCTA5 10038,$10–14.9k,10000,15000.0,12500.0,6.01,6,0.06
ZCTA5 10038,$15–24.9k,15000,25000.0,20000.0,9.62,6,0.06
ZCTA5 10038,$25–34.9k,25000,35000.0,30000.0,14.42,3,0.033
ZCTA5 10038,$35–49.9k,35000,50000.0,42500.0,20.43,5,0.051
ZCTA5 10038,$50–74.9k,50000,75000.0,62500.0,30.05,7,0.075
ZCTA5 10038,$75–99.9k,75000,100000.0,87500.0,42.07,8,0.087
ZCTA5 10038,$100–149.9k,100000,150000.0,125000.0,60.1,15,0.153
ZCTA5 10038,$150–199.9k,150000,200000.0,175000.0,84.13,9,0.094
ZCTA5 10038,$200k+,200000,,250000.0,120.19,29,0.297
