"Step","dual_agent_nyc_man_south_mode0 - combined/total_reward","dual_agent_nyc_man_south_mode0 - combined/total_reward__MIN","dual_agent_nyc_man_south_mode0 - combined/total_reward__MAX"
"1501","18013.131783688532","18013.131783688532","18013.131783688532"
"1507","16959.38730727606","16959.38730727606","16959.38730727606"
"1511","17013.854144022644","17013.854144022644","17013.854144022644"
"1512","16834.75223701299","16834.75223701299","16834.75223701299"
"1531","17175.52728058053","17175.52728058053","17175.52728058053"
"1540","16372.326600149852","16372.326600149852","16372.326600149852"
"1541","17058.742308330562","17058.742308330562","17058.742308330562"
"1551","17017.456854090357","17017.456854090357","17017.456854090357"
"1574","16937.0459010989","16937.0459010989","16937.0459010989"
"1576","16923.902926268176","16923.902926268176","16923.902926268176"
"1589","16637.421880258633","16637.421880258633","16637.421880258633"
"1598","16333.669320235322","16333.669320235322","16333.669320235322"
"1600","16972.589079309582","16972.589079309582","16972.589079309582"
"1613","17230.093803835054","17230.093803835054","17230.093803835054"
"1650","17191.47487892663","17191.47487892663","17191.47487892663"
"1657","17551.45979767455","17551.45979767455","17551.45979767455"
"1665","16792.016873598626","16792.016873598626","16792.016873598626"
"1686","16903.649981573984","16903.649981573984","16903.649981573984"
"1700","17384.693123459874","17384.693123459874","17384.693123459874"
"1702","17222.39044566545","17222.39044566545","17222.39044566545"
"1709","17401.20696991897","17401.20696991897","17401.20696991897"
"1714","17507.174233516485","17507.174233516485","17507.174233516485"
"1716","18185.957533771787","18185.957533771787","18185.957533771787"
"1718","16026.3702995893","16026.3702995893","16026.3702995893"
"1732","17494.427497974248","17494.427497974248","17494.427497974248"
"1741","16882.44273795649","16882.44273795649","16882.44273795649"
"1752","17313.88033799534","17313.88033799534","17313.88033799534"
"1760","16943.930838994344","16943.930838994344","16943.930838994344"
"1773","17515.009135281383","17515.009135281383","17515.009135281383"
"1782","17284.692757881006","17284.692757881006","17284.692757881006"
"1792","16669.776503607507","16669.776503607507","16669.776503607507"
"1796","17283.83775735376","17283.83775735376","17283.83775735376"
"1800","17880.928334304586","17880.928334304586","17880.928334304586"
"1803","16265.917213425462","16265.917213425462","16265.917213425462"
