"Step","dual_agent_nyc_man_south_no_info_mode0 - combined/total_reward","dual_agent_nyc_man_south_no_info_mode0 - combined/total_reward__MIN","dual_agent_nyc_man_south_no_info_mode0 - combined/total_reward__MAX"
"2563","17444.769231518483","17444.769231518483","17444.769231518483"
"2573","17926.99099056499","17926.99099056499","17926.99099056499"
"2578","16907.76605835831","16907.76605835831","16907.76605835831"
"2590","18022.10929456655","18022.10929456655","18022.10929456655"
"2599","17423.507497502498","17423.507497502498","17423.507497502498"
"2612","17599.338774586526","17599.338774586526","17599.338774586526"
"2624","16968.698639055387","16968.698639055387","16968.698639055387"
"2662","17748.021274364528","17748.021274364528","17748.021274364528"
"2663","16878.656773476527","16878.656773476527","16878.656773476527"
"2672","17073.383152042406","17073.383152042406","17073.383152042406"
"2700","17435.22573082473","17435.22573082473","17435.22573082473"
"2707","17520.18425585526","17520.18425585526","17520.18425585526"
"2732","17575.204883338884","17575.204883338884","17575.204883338884"
"2738","17406.601703712953","17406.601703712953","17406.601703712953"
"2752","17168.194190753693","17168.194190753693","17168.194190753693"
"2773","17335.95131976357","17335.95131976357","17335.95131976357"
"2798","16832.976375652128","16832.976375652128","16832.976375652128"
"2815","16342.99692726718","16342.99692726718","16342.99692726718"
"2821","16889.314527195034","16889.314527195034","16889.314527195034"
"2833","17480.279271201023","17480.279271201023","17480.279271201023"
"2836","17654.793064907317","17654.793064907317","17654.793064907317"
"2839","17867.107207792207","17867.107207792207","17867.107207792207"
"2860","17107.80016025641","17107.80016025641","17107.80016025641"
"2863","17155.944309829065","17155.944309829065","17155.944309829065"
"2865","17730.38468697969","17730.38468697969","17730.38468697969"
"2871","17367.605157675658","17367.605157675658","17367.605157675658"
"2874","16933.930867049618","16933.930867049618","16933.930867049618"
"2884","17277.677119935623","17277.677119935623","17277.677119935623"
"2902","17300.67629140304","17300.67629140304","17300.67629140304"
"2909","17476.310117132867","17476.310117132867","17476.310117132867"
"2911","17240.198831640588","17240.198831640588","17240.198831640588"
"2938","17556.15924936175","17556.15924936175","17556.15924936175"
"2941","17414.56106113331","17414.56106113331","17414.56106113331"
"2946","17051.134355866358","17051.134355866358","17051.134355866358"
"2958","17265.52739324564","17265.52739324564","17265.52739324564"
"2975","17421.468600510605","17421.468600510605","17421.468600510605"
"2977","17461.112154040402","17461.112154040402","17461.112154040402"
"2992","17088.145144605398","17088.145144605398","17088.145144605398"
"3003","17731.0063499556","17731.0063499556","17731.0063499556"
"3029","17621.98669916195","17621.98669916195","17621.98669916195"
"3030","17459.838074786327","17459.838074786327","17459.838074786327"
"3052","17306.84005333556","17306.84005333556","17306.84005333556"
"3066","16771.51817862693","16771.51817862693","16771.51817862693"
"3068","17538.982211344213","17538.982211344213","17538.982211344213"
"3069","17636.758538267284","17636.758538267284","17636.758538267284"
"3070","17291.998651626152","17291.998651626152","17291.998651626152"
"3073","17530.190913836166","17530.190913836166","17530.190913836166"
"3091","17708.21297785548","17708.21297785548","17708.21297785548"
"3096","18057.21806615607","18057.21806615607","18057.21806615607"
"3111","17344.619247502502","17344.619247502502","17344.619247502502"
"3117","17277.730355283606","17277.730355283606","17277.730355283606"
"3121","17229.221991036742","17229.221991036742","17229.221991036742"
"3124","17107.48983810634","17107.48983810634","17107.48983810634"
"3163","17015.59412889888","17015.59412889888","17015.59412889888"
"3167","17582.526161505164","17582.526161505164","17582.526161505164"
"3176","17621.673096875347","17621.673096875347","17621.673096875347"
"3214","17797.78971270397","17797.78971270397","17797.78971270397"
"3215","17458.228671134424","17458.228671134424","17458.228671134424"
"3224","17675.064527139533","17675.064527139533","17675.064527139533"
"3238","17045.269143717393","17045.269143717393","17045.269143717393"
"3263","17101.87428807304","17101.87428807304","17101.87428807304"
"3273","16870.829262792766","16870.829262792766","16870.829262792766"
"3274","16680.021393606396","16680.021393606396","16680.021393606396"
"3296","17523.50615417916","17523.50615417916","17523.50615417916"
"3304","17363.105411255412","17363.105411255412","17363.105411255412"
"3306","18015.637134171382","18015.637134171382","18015.637134171382"
"3316","17181.855121517372","17181.855121517372","17181.855121517372"
"3318","17236.413305472306","17236.413305472306","17236.413305472306"
"3335","17184.78523926074","17184.78523926074","17184.78523926074"
"3341","17398.850761377515","17398.850761377515","17398.850761377515"
"3353","17500.11512903763","17500.11512903763","17500.11512903763"
"3356","17073.62792352093","17073.62792352093","17073.62792352093"
"3365","18145.015171328676","18145.015171328676","18145.015171328676"
"3367","17240.215852980356","17240.215852980356","17240.215852980356"
"3372","16732.41136144411","16732.41136144411","16732.41136144411"
"3398","17713.29152189477","17713.29152189477","17713.29152189477"
"3417","17890.478556610055","17890.478556610055","17890.478556610055"
"3419","17633.443634393392","17633.443634393392","17633.443634393392"
"3444","17633.957184926185","17633.957184926185","17633.957184926185"
"3485","17236.22410153735","17236.22410153735","17236.22410153735"
"3494","17048.9912456155","17048.9912456155","17048.9912456155"
"3506","17128.64334160284","17128.64334160284","17128.64334160284"
"3515","17811.108231157737","17811.108231157737","17811.108231157737"
"3528","17337.989980463983","17337.989980463983","17337.989980463983"
"3536","16997.317111277614","16997.317111277614","16997.317111277614"
"3543","17637.628594183596","17637.628594183596","17637.628594183596"
"3557","17395.137787684536","17395.137787684536","17395.137787684536"
"3563","17392.270770784773","17392.270770784773","17392.270770784773"
"3566","17263.237549422804","17263.237549422804","17263.237549422804"
"3571","17050.3415478133","17050.3415478133","17050.3415478133"
"3577","17492.751539016543","17492.751539016543","17492.751539016543"
"3588","17411.24426653902","17411.24426653902","17411.24426653902"
"3595","17512.133005411255","17512.133005411255","17512.133005411255"
"3599","17427.41187842713","17427.41187842713","17427.41187842713"
"3601","17840.59852863803","17840.59852863803","17840.59852863803"
"3602","17442.55643845044","17442.55643845044","17442.55643845044"
"3608","17207.98112518038","17207.98112518038","17207.98112518038"
"3610","18087.629058885555","18087.629058885555","18087.629058885555"
"3629","16983.10771503497","16983.10771503497","16983.10771503497"
"3633","16735.34483727384","16735.34483727384","16735.34483727384"
"3648","17763.982480214232","17763.982480214232","17763.982480214232"
"3656","17247.201149045402","17247.201149045402","17247.201149045402"
"3667","16869.776176517928","16869.776176517928","16869.776176517928"
"3673","17152.689697163947","17152.689697163947","17152.689697163947"
"3678","17052.27353946054","17052.27353946054","17052.27353946054"
"3679","17307.50710678211","17307.50710678211","17307.50710678211"
"3740","17311.273680708182","17311.273680708182","17311.273680708182"
"3749","18122.65941869242","18122.65941869242","18122.65941869242"
"3750","16962.33793989344","16962.33793989344","16962.33793989344"
"3758","17871.09680871906","17871.09680871906","17871.09680871906"
"3765","17201.23588147963","17201.23588147963","17201.23588147963"
"3767","17128.316523199028","17128.316523199028","17128.316523199028"
"3789","17869.659477078476","17869.659477078476","17869.659477078476"
"3794","16959.10724064824","16959.10724064824","16959.10724064824"
"3803","17116.55360764236","17116.55360764236","17116.55360764236"
"3815","16797.60536127761","16797.60536127761","16797.60536127761"
"3818","17743.28842737818","17743.28842737818","17743.28842737818"
"3836","17215.039879315133","17215.039879315133","17215.039879315133"
"3838","17408.085321539573","17408.085321539573","17408.085321539573"
"3849","16814.906682789435","16814.906682789435","16814.906682789435"
"3857","17264.74383888334","17264.74383888334","17264.74383888334"
"3871","16883.824337190592","16883.824337190592","16883.824337190592"
"3878","17377.17898740149","17377.17898740149","17377.17898740149"
"3883","17990.719971528473","17990.719971528473","17990.719971528473"
"3887","17249.488918137416","17249.488918137416","17249.488918137416"
"3889","17230.233326784328","17230.233326784328","17230.233326784328"
"3892","17199.615424464428","17199.615424464428","17199.615424464428"
"3910","17626.762273088025","17626.762273088025","17626.762273088025"
"3921","17787.748059967813","17787.748059967813","17787.748059967813"
"3923","17882.916503219007","17882.916503219007","17882.916503219007"
"3931","17800.85223088023","17800.85223088023","17800.85223088023"
"3951","17406.72541874792","17406.72541874792","17406.72541874792"
"3958","17952.39340651016","17952.39340651016","17952.39340651016"
"3961","16430.084281995783","16430.084281995783","16430.084281995783"
"3974","17827.37473440449","17827.37473440449","17827.37473440449"
"3993","17948.446479492733","17948.446479492733","17948.446479492733"
"4009","17594.1595986236","17594.1595986236","17594.1595986236"
"4012","17870.19846786547","17870.19846786547","17870.19846786547"
"4016","17520.177132395387","17520.177132395387","17520.177132395387"
"4021","17182.30152120102","17182.30152120102","17182.30152120102"
"4032","17922.839457320457","17922.839457320457","17922.839457320457"
"4040","17146.68950727051","17146.68950727051","17146.68950727051"
"4054","17162.350189227443","17162.350189227443","17162.350189227443"
"4066","18240.847157758908","18240.847157758908","18240.847157758908"
"4074","18048.598974664223","18048.598974664223","18048.598974664223"
"4091","17752.21413017538","17752.21413017538","17752.21413017538"
"4101","17311.002160200915","17311.002160200915","17311.002160200915"
"4104","17494.259017926517","17494.259017926517","17494.259017926517"
"4114","17057.803584165835","17057.803584165835","17057.803584165835"
"4131","17043.00541514042","17043.00541514042","17043.00541514042"
"4140","16505.75241763792","16505.75241763792","16505.75241763792"
"4148","17052.95694033744","17052.95694033744","17052.95694033744"
"4162","17399.846179098677","17399.846179098677","17399.846179098677"
"4163","16749.06076159951","16749.06076159951","16749.06076159951"
"4175","17303.524301809302","17303.524301809302","17303.524301809302"
"4181","16943.090281662786","16943.090281662786","16943.090281662786"
"4184","17349.799300310802","17349.799300310802","17349.799300310802"
"4212","16927.720382811633","16927.720382811633","16927.720382811633"
"4213","17642.38802930403","17642.38802930403","17642.38802930403"
"4229","16653.779132506384","16653.779132506384","16653.779132506384"
"4247","17248.776375013877","17248.776375013877","17248.776375013877"
"4281","18079.52978596404","18079.52978596404","18079.52978596404"
"4295","17367.847564657568","17367.847564657568","17367.847564657568"
"4318","17615.69210961261","17615.69210961261","17615.69210961261"
"4321","17793.352989232993","17793.352989232993","17793.352989232993"
"4337","17700.816404595404","17700.816404595404","17700.816404595404"
"4341","17313.408552059052","17313.408552059052","17313.408552059052"
"4349","17076.6141440504","17076.6141440504","17076.6141440504"
"4358","17804.426195249194","17804.426195249194","17804.426195249194"
"4359","17629.11503760129","17629.11503760129","17629.11503760129"
"4369","17227.43201995227","17227.43201995227","17227.43201995227"
"4377","17291.615838467093","17291.615838467093","17291.615838467093"
"4379","17334.731603618602","17334.731603618602","17334.731603618602"
"4392","17116.438215145965","17116.438215145965","17116.438215145965"
"4402","17600.756164280167","17600.756164280167","17600.756164280167"
"4413","16876.335935675437","16876.335935675437","16876.335935675437"
"4415","17842.939283522035","17842.939283522035","17842.939283522035"
"4420","17285.973347041847","17285.973347041847","17285.973347041847"
"4424","17343.184346708847","17343.184346708847","17343.184346708847"
"4425","17227.766015512265","17227.766015512265","17227.766015512265"
"4429","17172.989107975358","17172.989107975358","17172.989107975358"
"4443","17741.528268370515","17741.528268370515","17741.528268370515"
"4445","17016.655983266734","17016.655983266734","17016.655983266734"
"4447","17718.82273612499","17718.82273612499","17718.82273612499"
"4453","16978.889519896773","16978.889519896773","16978.889519896773"
"4465","17592.488515234767","17592.488515234767","17592.488515234767"
"4478","17116.04551681652","17116.04551681652","17116.04551681652"
"4481","16628.68402283827","16628.68402283827","16628.68402283827"
"4487","17632.00982054057","17632.00982054057","17632.00982054057"
"4489","17690.215898046394","17690.215898046394","17690.215898046394"
"4491","17603.191255050504","17603.191255050504","17603.191255050504"
"4494","17483.731091991343","17483.731091991343","17483.731091991343"
"4502","17266.08901817627","17266.08901817627","17266.08901817627"
"4505","17133.95970862471","17133.95970862471","17133.95970862471"
"4510","17813.398682456434","17813.398682456434","17813.398682456434"
"4526","16588.17636546787","16588.17636546787","16588.17636546787"
"4527","17146.374335414584","17146.374335414584","17146.374335414584"
"4553","17213.551371156624","17213.551371156624","17213.551371156624"
"4579","16707.449321484077","16707.449321484077","16707.449321484077"
"4609","17499.942182345432","17499.942182345432","17499.942182345432"
"4618","17162.10257428683","17162.10257428683","17162.10257428683"
"4631","17504.407862665117","17504.407862665117","17504.407862665117"
"4637","17739.513891136645","17739.513891136645","17739.513891136645"
"4648","17318.404014790765","17318.404014790765","17318.404014790765"
"4650","16762.76927122877","16762.76927122877","16762.76927122877"
"4651","17495.391757104007","17495.391757104007","17495.391757104007"
"4658","17621.717460095464","17621.717460095464","17621.717460095464"
"4659","17207.73915778666","17207.73915778666","17207.73915778666"
"4666","17499.11218040293","17499.11218040293","17499.11218040293"
"4672","17309.331394105895","17309.331394105895","17309.331394105895"
"4689","17812.637533827285","17812.637533827285","17812.637533827285"
"4694","17252.21454156954","17252.21454156954","17252.21454156954"
"4729","17775.754378538128","17775.754378538128","17775.754378538128"
"4735","17516.30098720724","17516.30098720724","17516.30098720724"
"4756","17942.371479270732","17942.371479270732","17942.371479270732"
"4762","17424.24287667888","17424.24287667888","17424.24287667888"
"4774","17140.83342002442","17140.83342002442","17140.83342002442"
"4799","16929.754671633924","16929.754671633924","16929.754671633924"
